Nome,SUAP
Laboratório de Informática 01,https://suap.ifrn.edu.br/comum/sala/solicitar_reserva/3001/
Laboratório de Informática 02,https://suap.ifrn.edu.br/comum/sala/solicitar_reserva/3002/
Laboratório de Informática 03,https://suap.ifrn.edu.br/comum/sala/solicitar_reserva/3003/
Laboratório de Informática 04,https://suap.ifrn.edu.br/comum/sala/solicitar_reserva/1532/
Sala 01,https://suap.ifrn.edu.br/comum/sala/solicitar_reserva/1524/
Sala 02,https://suap.ifrn.edu.br/comum/sala/solicitar_reserva/1525/
Sala 03,https://suap.ifrn.edu.br/comum/sala/solicitar_reserva/1526/
Sala 04,https://suap.ifrn.edu.br/comum/sala/solicitar_reserva/1527/
Sala 05,https://suap.ifrn.edu.br/comum/sala/solicitar_reserva/1528/
Sala 06,https://suap.ifrn.edu.br/comum/sala/solicitar_reserva/1542/
Sala 07,https://suap.ifrn.edu.br/comum/sala/solicitar_reserva/3362/
Sala 08,https://suap.ifrn.edu.br/comum/sala/solicitar_reserva/3723/
Sala 09,https://suap.ifrn.edu.br/comum/sala/solicitar_reserva/1545/
Sala 10,https://suap.ifrn.edu.br/comum/sala/solicitar_reserva/1546/
Sala B-11,https://suap.ifrn.edu.br/comum/sala/solicitar_reserva/3008/
Sala B-15,https://suap.ifrn.edu.br/comum/sala/solicitar_reserva/2439/
Sala B-16,https://suap.ifrn.edu.br/comum/sala/solicitar_reserva/3007/
Laboratório de Acionamento de Máquinas,https://suap.ifrn.edu.br/comum/sala/solicitar_reserva/2253/
Laboratório de Cabeamento Estruturado,https://suap.ifrn.edu.br/comum/sala/solicitar_reserva/2590/
Laboratório de Eletrônica,https://suap.ifrn.edu.br/comum/sala/solicitar_reserva/1651/
Laboratório de Instrumentação,https://suap.ifrn.edu.br/comum/sala/solicitar_reserva/2421/
Laboratório de Manutenção,https://suap.ifrn.edu.br/comum/sala/solicitar_reserva/1633/
Laboratório de Materiais,https://suap.ifrn.edu.br/comum/sala/solicitar_reserva/2417/
Laboratório Mecânica I,https://suap.ifrn.edu.br/comum/sala/solicitar_reserva/2375/
Laboratório Mecânica II,https://suap.ifrn.edu.br/comum/sala/solicitar_reserva/2376/
Laboratório Pneumática,https://suap.ifrn.edu.br/comum/sala/solicitar_reserva/2419/
Laboratório de Redes,https://suap.ifrn.edu.br/comum/sala/solicitar_reserva/1533/
Laboratório de Robótica,https://suap.ifrn.edu.br/comum/sala/solicitar_reserva/2420/
Laboratório de Soldagem,https://suap.ifrn.edu.br/comum/sala/solicitar_reserva/2418/
